gene,mean_expr_AKI,mean_expr_reference,diff_mean_expr,pct_expr_AKI,pct_expr_reference,pct_expr_diff,p_value,adj_p_value,importance,combined_score,direction
NUDT22,0.301527013322188,,,0.24761381240317826,,,,,0.0001078319154033,,UP_in_reference
NUDT3,0.18576141546442332,,,0.15571435710359302,,,,,0.0001409695975762,,UP_in_reference
NUDT4,0.30180497354357716,,,0.21862975363550047,,,,,0.0001478043078911,,UP_in_reference
NUDT5,0.23497404624251098,,,0.19829093998300934,,,,,9.863824669214558e-05,,UP_in_reference
NUFIP2,0.22378797357886904,,,0.1798011093898356,,,,,0.0001026979905451,,UP_in_reference
NUMA1,0.2489999706717841,,,0.2037379441307281,,,,,0.0001159152272483,,UP_in_reference
NUMB,0.18966622076873257,,,0.15851281795012742,,,,,0.0001159247465694,,UP_in_reference
NUPR1,0.354470742319741,,,0.21163360151916447,,,,,0.000193121657675,,UP_in_reference
NUTF2,0.3711461849477495,,,0.28634251161860974,,,,,0.0001246882673975,,UP_in_reference
OARD1,0.2160298210532457,,,0.18634750887012144,,,,,0.000100313751011,,UP_in_reference
OAT,0.23807384651078384,,,0.20073959322372695,,,,,0.0001147253078368,,UP_in_reference
OAZ1,1.6953435345843868,,,0.7956623856878716,,,,,0.0004694623318921,,UP_in_reference
OBSL1,0.21877539081312034,,,0.18110039478286943,,,,,0.0001043757007645,,UP_in_reference
OCIAD1,0.644353456701333,,,0.43121283294188195,,,,,0.0002092146532226,,UP_in_reference
OCIAD2,0.9161302828283038,,,0.48768177502373694,,,,,0.0003493349971304,,UP_in_reference
ODC1,0.3325166030340646,,,0.25186147618809657,,,,,0.0001825961431616,,UP_in_reference
OGA,0.30109699824931346,,,0.23042326720303832,,,,,0.0001690866529055,,UP_in_reference
OGDH,0.24375202026165046,,,0.19979011543650993,,,,,0.000111479472269,,UP_in_reference
OGDHL,0.27339275366860255,,,0.20968467342961372,,,,,0.0001479584234329,,UP_in_reference
OGT,0.27558547224088087,,,0.21233321673079805,,,,,0.0001538672527663,,UP_in_reference
OLA1,0.25295855178913407,,,0.21383239218429864,,,,,0.0001082108854936,,UP_in_reference
OPTN,0.24077037887485275,,,0.18554794862825447,,,,,0.0001207908350643,,UP_in_reference
ORMDL1,0.41366267748869245,,,0.30883014342111836,,,,,0.0001609243805394,,UP_in_reference
ORMDL2,0.26105886444362003,,,0.21703063315176652,,,,,0.0001075151117073,,UP_in_reference
OS9,0.3353600101967947,,,0.2642546599370346,,,,,0.0001289185266878,,UP_in_reference
OSBPL8,0.26358229563654073,,,0.2054869821598121,,,,,0.0001489243143266,,UP_in_reference
OSBPL9,0.21274657017240792,,,0.18264954275148668,,,,,0.0001051979064199,,UP_in_reference
OST4,1.688252339075056,,,0.7883164259657188,,,,,0.0004204805679392,,UP_in_reference
OSTC,0.6646773593412861,,,0.45005247114087255,,,,,0.0002186012571465,,UP_in_reference
OSTF1,0.2799109259211655,,,0.20388786167607817,,,,,0.0001510390130952,,UP_in_reference
OTUB1,0.2320094580520268,,,0.1942931387736745,,,,,9.432352659678668e-05,,UP_in_reference
OTUD6B-AS1,0.2914981112595077,,,0.2323222227774724,,,,,0.000113547472483,,UP_in_reference
OXLD1,0.23402812451612423,,,0.19659187446904203,,,,,0.0001129523902512,,UP_in_reference
OXR1,0.20700079135444863,,,0.16480935485482984,,,,,0.0001209934566576,,UP_in_reference
P4HB,0.5620260419403902,,,0.3958322922392684,,,,,0.000167117482758,,UP_in_reference
P4HTM,0.22357390314284242,,,0.1874968767178052,,,,,8.298875543917695e-05,,UP_in_reference
PA2G4,0.37484362248157216,,,0.2889910549197941,,,,,0.0001508395785868,,UP_in_reference
PABPC1,0.8651004943295167,,,0.5319074509020039,,,,,0.0002828845491657,,UP_in_reference
PABPC4,0.23919567198272676,,,0.19994003298185997,,,,,0.0001341128543602,,UP_in_reference
PABPN1,0.46440391735741116,,,0.336564889310879,,,,,0.0001662447824695,,UP_in_reference
PAFAH1B1,0.2873962236829301,,,0.22972365199140474,,,,,9.985223173974423e-05,,UP_in_reference
PAFAH1B2,0.20289089057830417,,,0.1741042426665334,,,,,9.382834261969512e-05,,UP_in_reference
PAH,0.11588599295943813,,,0.07171055919244415,,,,,0.0001825797121111,,UP_in_reference
PAIP1,0.2769112764833396,,,0.22837439408325422,,,,,0.0001416795508674,,UP_in_reference
PAIP2,0.5435727042510743,,,0.3880865523961821,,,,,0.0002092531919621,,UP_in_reference
PAK2,0.373549207419612,,,0.27829693668482336,,,,,0.0001506746366072,,UP_in_reference
PAM,0.26343383047143887,,,0.2129328869121983,,,,,0.0001370185304982,,UP_in_reference
PAPOLA,0.4571630010804229,,,0.34141222327719756,,,,,0.0001837783250762,,UP_in_reference
PAPPA2,0.14073667088016906,,,0.0786067662785468,,,,,0.000209033102222,,UP_in_reference
PARD6B,0.25260310715580236,,,0.20568687222027884,,,,,0.0001111938804292,,UP_in_reference
PARK7,1.1399231895727133,,,0.63480085952726,,,,,0.0003380591676175,,UP_in_reference
PARP14,0.288175074225796,,,0.21173354654939783,,,,,0.0001796955342397,,UP_in_reference
PAWR,0.23668036217229685,,,0.19359352356204088,,,,,8.985321016716295e-05,,UP_in_reference
PAX2,0.20507042756941832,,,0.17110589175953225,,,,,0.0001754325549176,,UP_in_reference
PAX8,0.5161304347074724,,,0.3398630753085803,,,,,0.0009523778039092,,UP_in_reference
PAXX,0.5587737158040592,,,0.373144770376293,,,,,0.0002826617042862,,UP_in_reference
PBLD,0.23014335447941073,,,0.1692069361850982,,,,,0.0001147457266903,,UP_in_reference
PBX1,0.19496218867443216,,,0.15196641846984157,,,,,0.0001064128375624,,UP_in_reference
PBXIP1,0.1978896389450085,,,0.16156114137224525,,,,,9.760996631035284e-05,,UP_in_reference
PCBD1,0.7171327823095816,,,0.44710409274898805,,,,,0.0002172346103183,,UP_in_reference
PCBP1,0.805290073287067,,,0.5151166858227975,,,,,0.0002632193228151,,UP_in_reference
PCBP2,0.9894633299210226,,,0.5770326320523712,,,,,0.000334567822959,,UP_in_reference
PCCA,0.19685258198994623,,,0.1523162260756584,,,,,0.0001107106373831,,UP_in_reference
PCK1,0.1744103190280344,,,0.09020038978561791,,,,,0.0006946064056653,,UP_in_reference
PCM1,0.3305418290517507,,,0.24951276797761232,,,,,0.0001602694827051,,UP_in_reference
PCMT1,0.2840631592887674,,,0.2315226625356054,,,,,0.0001239610685975,,UP_in_reference
PCMTD1,0.4231988902430477,,,0.3115286592374194,,,,,0.000211722148178,,UP_in_reference
PCNP,0.3321822150693027,,,0.2636050172405177,,,,,0.0001431719475931,,UP_in_reference
PCP4,0.2487919879156927,,,0.1600619659187447,,,,,0.0001346843710771,,UP_in_reference
PCSK1N,0.8746400305343893,,,0.4302133826395482,,,,,0.0008516353333617,,UP_in_reference
PCYOX1,0.2901140790132664,,,0.2315226625356054,,,,,0.0001338043890569,,UP_in_reference
PDAP1,0.34509569088886305,,,0.2717505372045375,,,,,0.0001205583313876,,UP_in_reference
PDCD10,0.38451984865853095,,,0.29878566788266453,,,,,0.0001298384034561,,UP_in_reference
PDCD4,0.2610785379531638,,,0.19134476038179002,,,,,0.0001659098764384,,UP_in_reference
PDCD5,0.4690686035089603,,,0.34341112388186495,,,,,0.0001716907939957,,UP_in_reference
PDCD6,0.5049141263562229,,,0.3658987556843736,,,,,0.0001655276273227,,UP_in_reference
PDCD6IP,0.321876805186341,,,0.25560941482184796,,,,,0.000133039846999,,UP_in_reference
PDE1A,0.2158880161343462,,,0.1585627904652441,,,,,0.000155811077901,,UP_in_reference
PDHA1,0.4599340427292374,,,0.33331667582829444,,,,,0.0001544305452539,,UP_in_reference
PDHB,0.30476170618417,,,0.247813702463645,,,,,0.0001287009733334,,UP_in_reference
