gene,mean_expression,variance,rank
EID1,0.8884664631446105,0.7323384509865697,533
COX17,0.8517818202559081,0.7311539922795917,534
NDUFA5,0.8420651902110908,0.7305175769538435,535
TMEM52B,0.331250697321867,0.7305112187576661,536
UQCRFS1,0.8179818803830631,0.7293359400001455,537
FCER1G,0.27980446851402097,0.7292747404881934,538
SERPING1,0.6075967789600226,0.728123334492172,539
RPS12,3.5452869677635044,0.7271507363379008,540
GSN,0.5695146365486963,0.7269620299334938,541
COX14,0.8583520534578634,0.7264891421982357,542
HNRNPDL,0.9033837067105922,0.7263384094749529,543
PNRC1,0.7587045290729929,0.7261235520211998,544
