gene,mean_expression,variance,rank
HSP90AA1,1.695165030787632,1.0383523559711176,165
CALM2,1.6505265582172919,1.0380150401608428,166
TMEM176B,0.8390914202184381,1.0343467010713583,167
PRDX5,1.476533378815934,1.033799786334297,168
RPS2,2.140681911730702,1.0283072922658496,169
COX7C,2.307514460955232,1.025803689885426,170
PKM,1.197826365381433,1.0257192358804623,171
ATP6V0E1,1.4918298672446335,1.0256245103738162,172
MT1F,0.6959519522648945,1.0253157555839103,173
CD59,1.0131212030184,1.0241329139689057,174
SLPI,0.4025480789585878,1.0225353001445254,175
UQCR10,1.614971120688583,1.0177992686557604,176
HINT1,2.0103819078451957,1.0156205565019008,177
RPL36A,1.135336497994653,1.0132104135662863,178
GAPDH,2.446962206896845,1.0123556600342374,179
BEX3,0.8069108041165779,1.0099885176431505,180
ATP5MPL,0.9699420539603252,1.008402921461451,181
COX6B1,1.8481187529824443,1.0081598390845543,182
CALM1,1.4548081556354069,1.0079869824897956,183
PRDX2,1.2604237821327644,1.0064898196221153,184
ZFP36,0.6698205145556765,1.0032036519306,185
ATP5F1B,0.9243672879480286,1.0022380275757172,186
GNB2L1,0.5086608467642487,1.0021469416598006,187
RPS27L,1.216129079023819,1.0020833499852528,188
COX6C,1.7622889268701543,1.0019139658879048,189
SOD3,0.4517210371301139,1.0010640519296246,190
MINOS1,1.0656184145776448,0.9902179770594486,191
NDUFA13,1.3570012868161911,0.9895711093532538,192
OCIAD2,0.90303638051312,0.9840061315903084,193
SOD1,1.4392161824102756,0.9838017725331993,194
NDUFA1,1.5053717227705632,0.9837273400385098,195
COX7A2,1.5759003125423374,0.9826795854531762,196
MRPL33,1.178671265604713,0.9826526394019175,197
TMBIM6,1.5385145331975656,0.981971401739894,198
LAMTOR5,1.1385406033742156,0.9815769654165003,199
ITM2C,0.737646531927604,0.980026206614291,200
NDUFC1,1.289553448538058,0.9791875475478693,201
ECHS1,0.8931547111526011,0.9771002125534306,202
NDUFS5,1.5085767109633363,0.9765440776965808,203
SKP1,1.6868725308130028,0.9760128609700232,204
RPSA,1.766858568206932,0.9738592750499273,205
H3F3B,1.9526508733032009,0.9738334286666372,206
COX4I1,1.9227388236826464,0.9688326519355579,207
ATP5MC1,0.871530115583814,0.9681032627771979,208
CEBPD,0.8148844841636169,0.967698940138116,209
PTMS,1.0892247577294907,0.9640476735082739,210
DYNLL1,1.6116212451381133,0.963575461578857,211
POLR2L,1.582814313263827,0.9634579683795605,212
APLP2,1.0921780206555465,0.9599703797897394,213
CALR,1.1710041226522954,0.9587074027660618,214
ATP6V1F,1.2280079709274365,0.9579386771592275,215
