gene,mean_expr_CKD,mean_expr_AKI,diff_mean_expr,pct_expr_CKD,pct_expr_AKI,pct_expr_diff,p_value,adj_p_value,importance,combined_score,direction
HINT2,0.6285013874322529,0.5282626710652044,0.10023871636704851,0.46296824491348165,0.3743940832542102,0.08857416165927146,1.5865445726861513e-41,5.934705384112786e-41,0.0002406853133944,8.596179460110419e-05,UP_in_CKD
MRPS28,0.30293691799780237,0.20345763008563117,0.0994792879121712,0.27486214109146223,0.18284943281195343,0.0920127082795088,3.014725768635964e-86,2.4778567961391485e-85,0.0001096292777489,8.490002271016233e-05,UP_in_CKD
ANAPC16,0.9731562964693129,0.8692875450614429,0.10386875140787,0.6204601635291881,0.536654839838089,0.08380532369109905,2.2971935874000916e-33,6.98235132948356e-33,0.0003026739835966,8.472149459218752e-05,UP_in_CKD
CXADR,0.27778773806166557,0.19205305732951178,0.08573468073215379,0.24576915763453128,0.16291039928039577,0.0828587583541355,1.3789168277265524e-64,8.079590787460268e-64,0.000188457930296,8.446715588263969e-05,UP_in_CKD
HSPA2,0.2764634231088338,0.1789647597005836,0.09749866340825022,0.22385434493249667,0.1444705412023387,0.07938380373015796,4.932922551900655e-78,3.583236720508951e-77,0.0001422898633845,8.418946118294625e-05,UP_in_CKD
MOB1B,0.262969675386689,0.16604401398129273,0.09692566140539624,0.22637383532991062,0.14132227274998752,0.0850515625799231,1.5080537113187414e-86,1.2497682690486806e-85,0.0001191439666037,8.33905874366475e-05,UP_in_CKD
FCER1G,0.21807684662264407,0.3719813765191303,-0.15390452989648626,0.08599543639475185,0.13777422417670282,-0.05177878778195097,8.757159593117183e-71,5.6619566334809375e-70,0.0001503793129857,8.298365337032039e-05,UP_in_AKI
HLA-DPB1,0.5389428733253797,0.7005604012690307,-0.16161752794365103,0.2675413576725613,0.3073809404827345,-0.03983958281017319,4.338423036753661e-45,1.7588201500352679e-44,0.0002944270810818,8.294810816973106e-05,UP_in_AKI
CHD9,0.5313164485848921,0.4305574796623293,0.10075896892256281,0.40378398935158777,0.3113287691769527,0.09245522017463509,1.4571337178260032e-45,5.955587402558596e-45,0.000201261332822,8.291709501114101e-05,UP_in_CKD
FAM200B,0.44070413338343845,0.34300130680645513,0.09770282657698331,0.3652310325156874,0.2683024336614862,0.09692859885420119,9.263262587615293e-55,4.4750060809735714e-54,0.0001626983051941,8.21996664413741e-05,UP_in_CKD
ATP6AP1,0.49274459202678655,0.389750489839064,0.10299410218772254,0.38966533561513594,0.29548748188496327,0.09417785373017268,9.500909570655818e-54,4.502800744386644e-53,0.0001605355537427,8.151174072593995e-05,UP_in_CKD
CAMTA1,0.8053774471766567,0.7024033681560081,0.10297407902064859,0.5474424795588515,0.4559992004397581,0.09144327911909339,1.6402796916208013e-36,5.4434060562637214e-36,0.0002446894348733,8.125088319547084e-05,UP_in_CKD
PVALB,0.16830700527094022,0.10595030759343982,0.062356697677500406,0.1222665906065792,0.0740092948878117,0.048257295718767496,2.4062787997084415e-43,9.411781485169916e-43,0.0006372587399605,8.059040463502809e-05,UP_in_CKD
ARPP19,0.4678743405504641,0.36819121687207923,0.09968312367838489,0.38153641376687586,0.2880415771325771,0.09349483663429875,4.2779198910323615e-54,2.0468516225035224e-53,0.0001631568024622,8.01186633835451e-05,UP_in_CKD
HP1BP3,0.5679759939328975,0.4676185349548971,0.10035745897800047,0.4305951701844457,0.3372645045225126,0.0933306656619331,7.42951631663609e-44,2.9404418139720676e-43,0.0002004505769923,7.985331001057417e-05,UP_in_CKD
PTGER1,0.27835310841633193,0.15963212501405624,0.11872098340227569,0.1430405019965773,0.08095547448903104,0.06208502750754627,9.520243612029719e-72,6.290909875790564e-71,0.0001522933027415,7.880254427810065e-05,UP_in_CKD
SLC43A2,0.2772799120649806,0.18172610984845544,0.09555380221652515,0.2327438676554478,0.1508170506221578,0.08192681703329,1.0331806564303963e-77,7.416963910364704e-77,0.0001305780046001,7.782132528673169e-05,UP_in_CKD
