gene,importance
ITGA4,0.0004583062869620772
TNFRSF1B,0.0004581901179247601
RAMP3,0.00045809640981800577
CD109,0.0004554756830429606
PMP22,0.00045212117520324253
CLIC3,0.0004512766489684425
TMTC1,0.00045100835638066107
COL1A2,0.0004505841910350239
CYBB,0.0004492568555654866
HEG1,0.00044917062973428375
NRGN,0.0004484796926149364
GZMK,0.00044760782539931263
PDGFB,0.00044517736737053904
EDIL3,0.0004450381542029978
CD34,0.0004447974375589642
PPP1R14A,0.0004445021228162842
RIPOR2,0.00044365295358758937
GZMB,0.00044358182356154364
CD97,0.00044311226636902797
FSCN1,0.000443013141072058
TNC,0.0004429781859134747
F3,0.0004411380071565085
IKZF1,0.0004409520552007103
C1orf186,0.000440199995475105
CCL4,0.0004377110665935973
CD3G,0.0004367377446773085
SERPINB9,0.0004354621132925299
SYNPO,0.0004339981136271345
AEBP1,0.00043154278486015087
SOST,0.0004312618896889442
FCGR2A,0.00043121252969575004
KDR,0.0004300107858104401
RGS5,0.0004268506146007487
MS4A6A,0.00042565381692769613
F8,0.00042500440609050957
GZMH,0.0004245887826740652
GPR65,0.0004243631193211387
WFDC1,0.00042238993487125724
CEACAM6,0.00041890861441953495
XAF1,0.0004175077597131562
LCK,0.00041707878862276587
MYH11,0.00041620308879538513
RASGRP2,0.0004157888733757381
MS4A7,0.00041482641452101845
CCDC80,0.0004147134835993532
CTSW,0.0004067458833990436
GP2,0.0004064623695288405
SHANK3,0.0004038976098599491
ITGB7,0.00040132548161116817
S1PR4,0.00040078699068536966
AMICA1,0.0004003661152907947
KRT13,0.0004002084815133239
GBP4,0.00039842651562573467
SELL,0.0003984231696521401
PTGER4,0.0003967696837500457
GPT,0.00039639369958742465
G6PC,0.0003963282837556513
NPY1R,0.0003945258175017577
EHD3,0.000394174800074743
FBLN5,0.00039251949587576897
SLC2A3,0.00038983780839128146
NES,0.00038883085543628984
GZMM,0.00038613200802391554
F2RL3,0.0003860182297977791
PLXND1,0.0003859035430614262
MMRN2,0.000383461697814659
PLEKHF1,0.0003832758129679376
CFH,0.00038244882635657217
PLTP,0.0003817259108299773
MAP3K7CL,0.00038117640548582124
ALS2CL,0.00038060735556970826
RESF1,0.00038047193249734113
GNG2,0.0003790600233618784
MAP1B,0.0003783768513493324
BCL2A1,0.00037714745165356273
ANKRD2,0.00037685168480860375
RBMS3,0.00037496850372280386
FCN3,0.0003717027932409239
CXCL2,0.00036864740038469154
AQP6,0.00036843028507592244
CD79B,0.000368102657981606
OLR1,0.00036577065329170065
POU2F2,0.0003654926038796706
SLC5A2,0.00036513238552799294
C1QA,0.0003646435198597779
SLC34A1,0.00036340834268889865
AC019080.1,0.0003609052472894404
FMO2,0.0003595087938517442
CD247,0.00035918978692631225
MYOM2,0.00035913590721070034
CCL3,0.0003584623189086383
RARRES1,0.00035708454337725576
CLEC7A,0.00035601985757977576
PRKCB,0.0003556014259784597
ESM1,0.00035432445773480643
ROBO4,0.000351214677224715
IRF8,0.0003494048016381889
LTBP1,0.00034794258329957364
SCGB2A1,0.0003476482832147752
CD79A,0.0003456651248236183
CLEC4E,0.0003455520980105457
PTGDS,0.0003453459748277563
RAMP1,0.0003445351486671506
TENC1,0.0003443125576597725
GIMAP5,0.00034314695197858386
PCED1B-AS1,0.0003428680443738712
TNF,0.0003427918931517583
PROX1,0.00034262678824344427
F2R,0.00034218975834127537
MFGE8,0.0003418369571193677
AC019181.2,0.00034123091799987245
BANK1,0.00034080471907862845
NOTCH4,0.00034003704670780484
PLEK,0.0003380901568830271
C1S,0.00033748854607289853
RASIP1,0.0003374598578548335
LRRC32,0.0003368742499032419
RFLNB,0.0003363160133091972
RASAL3,0.0003352779039695941
AGXT,0.00033526241327966886
RNASE6,0.0003313515350111585
SERPINF1,0.0003306700538893253
CDH5,0.00033044032834666647
IGSF6,0.0003295847112892615
MSR1,0.0003281718767788803
CALML3,0.0003278292421882487
SFN,0.00032680286716176373
VNN1,0.00032676374397841006
FAM167B,0.00032671079037894943
SLC14A1,0.0003267010847146749
PRODH,0.00032650614045401827
NSG1,0.0003263991524488128
TNFRSF25,0.0003253889554551423
KLRD1,0.00032535531659323605
RAPGEF5,0.0003238200886298734
LY6K,0.00032330955405606256
OXT,0.0003219306935114252
RASA4,0.0003208219660099048
ANXA2R,0.0003191294422124588
CLSTN2,0.0003176938159390965
JAML,0.000317051540067043
MARCH1,0.0003169711435272785
PLVAP,0.0003169427976668451
ATP2A3,0.000316714981600073
LINC01874,0.0003159514460604161
CLDN5,0.00031562751196457384
SLC26A4,0.0003147060603041216
SIT1,0.0003143653039474415
FBLN2,0.00031354299857315297
STAB1,0.00031308489124752537
PTGER2,0.0003127713710241215
CD27,0.0003111198489220284
COL12A1,0.00030995216551248675
TGFBI,0.00030919109654117734
BASP1,0.0003074983539162164
FAM65A,0.0003071314947037317
TFF3,0.00030639841212158137
SLIT3,0.0003051515282668864
GJA4,0.00030383875505150376
FBN1,0.0003034722957277503
LDB2,0.00030318702605055284
FCN1,0.0003019880210470008
PLN,0.000300855732192668
CEACAM1,0.0002996022783022785
JAG2,0.00029860857424562383
SPN,0.00029807713582348343
PCDH17,0.0002962942055778613
CTB-27N1.1,0.00029592773194061036
LRRC25,0.00029384040022988875
PTPN22,0.0002933546370274846
GIMAP6,0.0002926941950121943
BTNL9,0.0002922058487652592
TEK,0.00029149071167709046
CX3CR1,0.0002911937001418115
KANK3,0.00029064571891490316
TNFRSF4,0.00029043106407036133
PALMD,0.0002894790315947201
CYP4A11,0.00028914133785104296
EGR3,0.0002871020741424042
ITGAL,0.0002870892660987155
ZG16B,0.0002866118886010162
BCL11A,0.00028568224989780416
FAM198B,0.00028339763434625257
PTTG1,0.00028182763138610633
TCF7,0.000281808159010484
APOC3,0.0002816598906684318
LY86,0.00028076727329083665
BATF,0.00028041923471984617
C1QB,0.0002793890939876595
PDGFD,0.00027845113495042625
PLA2R1,0.0002780941928085428
ICAM1,0.0002776451089632931
SLC51B,0.0002776014151250866
IGJ,0.0002775237913014324
CXCL1,0.00027612443610669973
CD96,0.00027586850229718943
CSF1R,0.00027555875792728763
LAMA4,0.00027489387422172627
CD163,0.0002742936537552128
MYO1G,0.00027424482636379015
DERL3,0.0002736516725371774
CD300A,0.0002732687774561469
COL3A1,0.0002728281074998292
NRP2,0.0002723711513800549
SCGB1D2,0.0002706196192899094
GJA1,0.00026995552464292405
TMC8,0.0002695754448499969
MYO1F,0.00026949780202509136
KLRF1,0.0002678187877869089
MLTK,0.0002671622220105897
ITLN1,0.000267030875752931
HIST2H2AA3,0.0002654655652154842
RUNX3,0.0002650152614971679
